               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.072747,            0.023089,            0.013918,             0.75273,            0.077708,            0.088577,            0.041398,             0.07479,               0.015,            0.026956,             0.00895,             0.00895,             0.00895
                  37,            0.065958,            0.024041,           0.0090129,             0.77298,            0.074074,            0.082485,            0.038886,            0.072894,            0.015082,            0.025986,             0.00892,             0.00892,             0.00892
                  38,             0.06935,            0.022691,            0.011915,             0.77094,             0.11111,             0.09153,            0.036569,            0.070159,            0.014953,            0.025495,             0.00889,             0.00889,             0.00889
                  39,            0.070131,            0.022207,            0.010871,             0.83586,            0.074074,            0.099909,            0.040858,              0.0707,            0.014769,            0.025936,             0.00886,             0.00886,             0.00886
                  40,            0.063614,            0.028738,             0.01047,             0.83586,            0.074074,            0.099909,            0.040858,              0.0707,            0.014769,            0.025936,             0.00883,             0.00883,             0.00883
                  41,            0.060101,             0.02389,            0.010034,                   1,            0.073974,             0.10088,            0.052455,            0.072211,            0.014512,            0.026474,              0.0088,              0.0088,              0.0088
                  42,            0.060091,            0.025758,            0.013932,             0.76834,             0.14815,             0.11345,            0.069758,            0.073006,            0.014311,            0.026621,             0.00877,             0.00877,             0.00877
                  43,            0.058861,            0.027452,           0.0073375,             0.80097,               0.126,             0.13171,            0.045584,            0.070577,            0.014183,            0.027514,             0.00874,             0.00874,             0.00874
                  44,            0.066081,            0.021455,           0.0059483,             0.80097,               0.126,             0.13171,            0.045584,            0.070577,            0.014183,            0.027514,             0.00871,             0.00871,             0.00871
                  45,            0.065372,            0.024104,            0.012704,             0.79653,             0.14815,             0.14606,            0.053905,            0.068297,            0.014282,            0.028216,             0.00868,             0.00868,             0.00868
                  46,            0.061011,            0.023827,           0.0097464,             0.81528,             0.11111,             0.12194,            0.062425,            0.068242,            0.014433,            0.029821,             0.00865,             0.00865,             0.00865
                  47,            0.061209,            0.025889,            0.010297,             0.81052,             0.11111,             0.11548,             0.05284,            0.065916,            0.014458,            0.029445,             0.00862,             0.00862,             0.00862
                  48,            0.057308,            0.026029,           0.0053088,             0.81052,             0.11111,             0.11548,             0.05284,            0.065916,            0.014458,            0.029445,             0.00859,             0.00859,             0.00859
                  49,            0.058639,            0.023184,           0.0092408,             0.82244,             0.14815,             0.15151,            0.063537,            0.065043,            0.014294,            0.029039,             0.00856,             0.00856,             0.00856
                  50,            0.058296,            0.022139,           0.0067937,             0.81138,             0.14815,             0.10963,            0.060696,            0.067811,            0.013899,            0.027475,             0.00853,             0.00853,             0.00853
                  51,            0.061589,            0.024894,           0.0099192,             0.77481,             0.18519,             0.12724,            0.055146,            0.066784,            0.013651,             0.02618,              0.0085,              0.0085,              0.0085
                  52,            0.067266,            0.025094,           0.0083846,             0.77481,             0.18519,             0.12724,            0.055146,            0.066784,            0.013651,             0.02618,             0.00847,             0.00847,             0.00847
