               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050073,            0.029359,           0.0054031,              0.6648,             0.64815,             0.71907,             0.41024,            0.045373,            0.013031,            0.017663,              0.0982,              0.0002,              0.0002
                   1,            0.048625,            0.031234,           0.0073122,             0.67586,             0.64815,             0.71919,              0.4035,            0.045287,            0.012946,            0.017931,            0.095401,            0.000401,            0.000401
                   2,            0.051697,            0.026504,           0.0061682,             0.68277,             0.64815,             0.72979,             0.43899,            0.045201,            0.012955,            0.018014,            0.092483,           0.0004832,           0.0004832
                   3,            0.045836,            0.028765,           0.0064219,             0.69005,             0.64815,             0.73033,             0.42118,            0.045174,            0.012944,            0.017866,            0.089447,           0.0004466,           0.0004466
                   4,            0.051949,            0.025032,           0.0056593,             0.68851,             0.64815,             0.73005,              0.4222,            0.045072,            0.012943,            0.018063,            0.086291,           0.0002912,           0.0002912
