               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.041801,            0.025006,           0.0022983,             0.67456,             0.71707,             0.76492,             0.39625,            0.038612,            0.011165,           0.0011354,           0.0091585,           0.0091585,           0.0091585
                  36,            0.041801,            0.026027,           0.0022357,              0.7411,             0.77807,             0.80326,             0.44396,            0.036721,            0.010701,           0.0017205,           0.0091337,           0.0091337,           0.0091337
                  37,            0.041303,             0.02512,           0.0024706,             0.71426,             0.73491,             0.78029,             0.39614,            0.038839,            0.011144,           0.0012498,            0.009109,            0.009109,            0.009109
                  38,             0.04128,            0.025558,           0.0024249,             0.69318,             0.68851,             0.71817,             0.37176,            0.042162,            0.011249,           0.0010569,           0.0090843,           0.0090843,           0.0090843
                  39,            0.040783,            0.024968,           0.0021103,             0.77723,              0.7612,             0.80545,             0.40624,            0.037509,            0.010955,           0.0007906,           0.0090595,           0.0090595,           0.0090595
                  40,            0.040237,             0.02491,           0.0019935,             0.69362,             0.76553,             0.77619,             0.41483,            0.037257,            0.010725,           0.0014634,           0.0090347,           0.0090347,           0.0090347
                  41,            0.040529,            0.025019,           0.0019672,             0.76915,             0.73967,             0.80834,             0.43648,            0.036446,            0.010468,          0.00077023,             0.00901,             0.00901,             0.00901
                  42,            0.040147,            0.024927,           0.0024424,             0.77089,             0.73715,             0.80525,             0.41462,            0.037593,            0.010431,           0.0010126,           0.0089853,           0.0089853,           0.0089853
                  43,            0.040824,            0.025293,           0.0021415,             0.74878,             0.76114,             0.80407,             0.43149,            0.036853,            0.010483,            0.001094,           0.0089605,           0.0089605,           0.0089605
                  44,            0.039782,            0.024943,           0.0020863,             0.77607,             0.78581,             0.81632,               0.462,            0.034913,            0.010375,           0.0016513,           0.0089358,           0.0089358,           0.0089358
                  45,            0.039673,            0.024374,           0.0020686,             0.79016,             0.75854,              0.8178,             0.42861,            0.037157,             0.01041,          0.00090382,            0.008911,            0.008911,            0.008911
                  46,            0.039988,            0.024774,           0.0019294,             0.75385,             0.76811,             0.81881,             0.45592,            0.034819,            0.010354,          0.00092907,           0.0088863,           0.0088863,           0.0088863
                  47,            0.040469,             0.02525,            0.001995,             0.69927,             0.76795,             0.78097,             0.41403,            0.038205,            0.010979,           0.0011577,           0.0088615,           0.0088615,           0.0088615
                  48,            0.040137,            0.024514,           0.0020213,             0.75031,             0.78901,              0.8309,              0.4677,            0.034447,            0.010149,          0.00080243,           0.0088368,           0.0088368,           0.0088368
                  49,            0.039709,            0.024421,           0.0020025,             0.76387,             0.77224,             0.81599,             0.43541,            0.036034,            0.010563,           0.0007215,            0.008812,            0.008812,            0.008812
                  50,             0.03968,            0.024943,           0.0018886,             0.73863,              0.7464,             0.77967,               0.446,             0.03588,            0.010488,          0.00098907,           0.0087872,           0.0087872,           0.0087872
                  51,            0.039007,            0.024569,           0.0019312,             0.74744,             0.77825,             0.80599,             0.44312,            0.035547,            0.010389,           0.0011333,           0.0087625,           0.0087625,           0.0087625
                  52,            0.039824,            0.024884,           0.0019548,             0.80389,             0.79816,             0.84877,               0.483,            0.033557,           0.0099705,          0.00083184,           0.0087378,           0.0087378,           0.0087378
                  53,            0.039345,            0.024702,           0.0018894,             0.76858,             0.79249,             0.81966,             0.47038,            0.034168,            0.010427,          0.00075297,            0.008713,            0.008713,            0.008713
                  54,            0.039164,            0.024541,           0.0017967,             0.78436,             0.74142,             0.80756,             0.44495,            0.035618,            0.010134,          0.00099581,           0.0086882,           0.0086882,           0.0086882
                  55,            0.039165,             0.02481,           0.0019531,             0.79979,             0.78724,             0.84476,             0.46823,             0.03395,            0.010245,          0.00057037,           0.0086635,           0.0086635,           0.0086635
                  56,            0.039234,            0.024376,            0.001813,             0.77501,             0.77108,             0.82514,              0.4677,            0.034587,            0.010376,           0.0007455,           0.0086388,           0.0086388,           0.0086388
                  57,            0.039129,            0.024736,           0.0018797,             0.80183,             0.77378,              0.8457,             0.48979,            0.033667,           0.0099875,          0.00066308,            0.008614,            0.008614,            0.008614
                  58,            0.039196,            0.024499,           0.0020198,             0.82507,             0.77879,             0.85859,             0.48991,            0.033121,           0.0098637,           0.0008726,           0.0085893,           0.0085893,           0.0085893
                  59,            0.039104,            0.024264,            0.001812,             0.78757,             0.72708,             0.82475,              0.4373,            0.037064,            0.010341,          0.00081916,           0.0085645,           0.0085645,           0.0085645
                  60,            0.039261,            0.024539,           0.0016128,             0.75699,             0.75399,             0.79026,             0.43023,             0.03677,            0.010435,          0.00090293,           0.0085398,           0.0085398,           0.0085398
                  61,            0.038749,            0.023927,           0.0017172,             0.78158,             0.79583,             0.84868,             0.47566,            0.034718,            0.010101,           0.0011288,            0.008515,            0.008515,            0.008515
                  62,            0.038666,            0.024204,           0.0017438,             0.78555,             0.77633,             0.83857,             0.45401,            0.035381,            0.010198,          0.00099017,           0.0084903,           0.0084903,           0.0084903
                  63,            0.038457,            0.023887,           0.0017264,             0.80337,             0.79081,             0.84329,             0.48854,             0.03352,           0.0098508,           0.0012326,           0.0084655,           0.0084655,           0.0084655
                  64,            0.038742,            0.024227,           0.0018022,             0.74483,             0.76812,             0.80671,             0.42944,            0.037868,            0.010709,          0.00086917,           0.0084408,           0.0084408,           0.0084408
                  65,            0.038424,            0.024143,           0.0018838,             0.81993,              0.7895,             0.85926,             0.50184,              0.0335,           0.0097394,          0.00050002,            0.008416,            0.008416,            0.008416
                  66,            0.038814,            0.024255,           0.0019451,             0.77832,             0.79573,             0.85036,             0.47672,            0.035212,            0.010139,          0.00056932,           0.0083913,           0.0083913,           0.0083913
                  67,            0.038231,            0.024073,           0.0018159,             0.80898,             0.81859,             0.86921,             0.50784,            0.033207,           0.0097862,          0.00051423,           0.0083665,           0.0083665,           0.0083665
                  68,            0.038327,            0.024467,           0.0015114,             0.81012,             0.77921,             0.84942,             0.46093,            0.036064,            0.010439,          0.00055309,           0.0083418,           0.0083418,           0.0083418
                  69,            0.038374,            0.023999,           0.0016991,             0.76213,             0.79468,             0.82997,             0.47366,            0.035223,            0.010167,          0.00061767,            0.008317,            0.008317,            0.008317
                  70,            0.038101,            0.023649,            0.001688,             0.83142,             0.75824,             0.83839,             0.47972,            0.034177,            0.010043,          0.00097945,           0.0082922,           0.0082922,           0.0082922
                  71,            0.037891,            0.023937,           0.0016158,             0.79386,             0.81153,             0.86904,             0.50939,            0.032335,           0.0099431,          0.00070614,           0.0082675,           0.0082675,           0.0082675
                  72,            0.037976,            0.024475,            0.001495,             0.81391,              0.8146,             0.85982,             0.50825,            0.033017,           0.0097713,          0.00052316,           0.0082428,           0.0082428,           0.0082428
                  73,            0.037234,            0.023787,           0.0015749,             0.80747,             0.78619,             0.86416,             0.48809,            0.033097,            0.009973,          0.00069939,            0.008218,            0.008218,            0.008218
                  74,            0.037787,            0.023877,           0.0014558,             0.80486,             0.80943,             0.86297,             0.49116,            0.033652,           0.0098697,          0.00054625,           0.0081932,           0.0081932,           0.0081932
                  75,            0.037763,            0.024252,            0.001714,             0.83161,             0.82202,             0.89051,             0.52811,            0.032185,             0.00956,          0.00050502,           0.0081685,           0.0081685,           0.0081685
                  76,            0.038296,            0.023346,            0.001644,             0.80229,             0.78635,             0.85195,             0.47689,            0.034335,           0.0099072,          0.00074354,           0.0081437,           0.0081437,           0.0081437
                  77,            0.037639,            0.023878,           0.0016962,             0.80988,             0.78812,             0.85679,              0.4811,             0.03418,            0.010141,          0.00079013,            0.008119,            0.008119,            0.008119
                  78,            0.037614,            0.023402,            0.001625,             0.85029,             0.79673,             0.87341,             0.51487,            0.032169,           0.0096626,          0.00062562,           0.0080942,           0.0080942,           0.0080942
                  79,            0.037499,            0.023635,           0.0013259,             0.80663,              0.8298,             0.87064,             0.52673,            0.031512,           0.0094755,          0.00046494,           0.0080695,           0.0080695,           0.0080695
                  80,            0.037451,            0.023893,           0.0014551,             0.85635,             0.83729,             0.89598,             0.52479,            0.031377,           0.0092002,          0.00067337,           0.0080447,           0.0080447,           0.0080447
                  81,            0.037212,            0.023754,           0.0016479,             0.81953,             0.81404,             0.87385,             0.52111,             0.03242,           0.0094154,          0.00058222,             0.00802,             0.00802,             0.00802
                  82,             0.03715,            0.023953,           0.0015043,             0.82541,             0.83501,             0.88383,             0.50968,            0.032521,           0.0097261,          0.00041756,           0.0079953,           0.0079953,           0.0079953
                  83,            0.037028,            0.023829,           0.0015976,             0.82051,             0.82363,             0.86594,             0.50916,            0.032572,           0.0094397,           0.0004235,           0.0079705,           0.0079705,           0.0079705
                  84,            0.037157,            0.023432,           0.0014195,             0.76967,             0.82368,             0.84502,             0.49103,            0.033294,           0.0097515,          0.00041972,           0.0079457,           0.0079457,           0.0079457
                  85,            0.036865,            0.024047,           0.0013502,             0.83714,              0.8122,             0.87901,             0.52017,            0.031967,           0.0093412,          0.00040913,            0.007921,            0.007921,            0.007921
                  86,            0.037037,            0.023535,           0.0013541,             0.82641,             0.83921,             0.89227,             0.53782,            0.030894,           0.0093945,          0.00061076,           0.0078963,           0.0078963,           0.0078963
                  87,            0.036726,            0.023037,           0.0015861,              0.8321,             0.81567,             0.88014,             0.50974,            0.032332,           0.0095885,          0.00056015,           0.0078715,           0.0078715,           0.0078715
                  88,            0.036848,            0.023137,           0.0013126,             0.85807,             0.84647,             0.90537,             0.53827,            0.030867,             0.00925,          0.00041916,           0.0078467,           0.0078467,           0.0078467
                  89,            0.036987,            0.023333,           0.0016439,             0.79674,             0.84423,             0.87098,             0.50427,            0.033576,           0.0095455,          0.00044705,            0.007822,            0.007822,            0.007822
                  90,            0.037209,            0.023394,            0.001692,             0.80313,             0.82453,             0.87708,             0.51642,            0.032689,            0.009585,          0.00050692,           0.0077973,           0.0077973,           0.0077973
                  91,            0.036815,            0.023761,           0.0017641,              0.8541,             0.82561,             0.89345,             0.53291,            0.031753,           0.0093021,          0.00043185,           0.0077725,           0.0077725,           0.0077725
                  92,            0.037044,            0.023558,           0.0014696,             0.82643,             0.83444,             0.88288,             0.52759,            0.031806,           0.0094257,          0.00043605,           0.0077478,           0.0077478,           0.0077478
                  93,            0.036809,            0.023139,           0.0014056,             0.80838,             0.84757,             0.89017,             0.51729,            0.032053,           0.0092804,          0.00050755,            0.007723,            0.007723,            0.007723
                  94,            0.036504,            0.022949,           0.0015481,             0.82708,             0.86896,             0.90202,             0.53335,            0.030806,           0.0093523,          0.00055599,           0.0076983,           0.0076983,           0.0076983
                  95,            0.036273,            0.023694,           0.0015689,             0.82358,             0.79287,             0.86205,             0.49831,            0.033397,            0.010058,          0.00057177,           0.0076735,           0.0076735,           0.0076735
                  96,            0.036717,            0.022732,           0.0015689,             0.84327,              0.8615,             0.89625,             0.55253,            0.030363,           0.0091238,          0.00069518,           0.0076488,           0.0076488,           0.0076488
                  97,            0.036251,             0.02305,           0.0012793,              0.8014,             0.77291,              0.8303,             0.46377,            0.035402,            0.009994,          0.00070031,            0.007624,            0.007624,            0.007624
                  98,            0.036034,            0.022643,           0.0013959,             0.86317,             0.83289,             0.89573,             0.53838,            0.031639,           0.0091295,          0.00059847,           0.0075993,           0.0075993,           0.0075993
                  99,             0.03635,            0.022963,           0.0014238,             0.80275,             0.83329,             0.86365,             0.50771,             0.03266,           0.0095344,           0.0004716,           0.0075745,           0.0075745,           0.0075745
                 100,             0.03599,            0.023198,           0.0014276,             0.86508,             0.87563,             0.91771,             0.56374,             0.02983,           0.0089153,            0.000422,           0.0075498,           0.0075498,           0.0075498
                 101,            0.036174,            0.023415,           0.0013818,             0.76835,             0.80723,             0.83747,              0.4628,            0.036118,             0.01013,          0.00045134,            0.007525,            0.007525,            0.007525
                 102,            0.036631,            0.022862,           0.0015462,              0.8394,             0.83772,             0.90268,             0.54289,            0.031006,           0.0091944,          0.00042656,           0.0075003,           0.0075003,           0.0075003
                 103,            0.036342,            0.023524,           0.0014007,             0.84933,              0.8412,             0.89681,             0.55417,            0.030266,           0.0090919,             0.00036,           0.0074755,           0.0074755,           0.0074755
                 104,            0.035952,            0.023587,           0.0017145,             0.81296,             0.83841,             0.89473,             0.53592,            0.031591,           0.0092593,          0.00057099,           0.0074507,           0.0074507,           0.0074507
                 105,             0.03584,            0.022753,           0.0012788,             0.83841,             0.82885,             0.89061,             0.53472,            0.031145,           0.0091092,          0.00038819,            0.007426,            0.007426,            0.007426
                 106,            0.036222,            0.023642,           0.0012475,             0.85423,             0.83535,             0.90342,             0.54195,            0.031245,           0.0091411,          0.00037802,           0.0074013,           0.0074013,           0.0074013
                 107,             0.03594,            0.023292,           0.0013038,             0.87546,             0.85423,             0.91032,             0.55915,            0.030321,           0.0088464,          0.00029173,           0.0073765,           0.0073765,           0.0073765
                 108,            0.035836,            0.023162,           0.0015968,             0.87238,             0.87144,             0.92357,             0.57012,            0.029458,           0.0088754,           0.0004229,           0.0073517,           0.0073517,           0.0073517
                 109,            0.035994,            0.023286,           0.0014769,             0.85776,             0.84656,             0.90439,              0.5414,            0.031821,           0.0092849,          0.00037712,            0.007327,            0.007327,            0.007327
                 110,            0.036409,            0.023627,           0.0017148,             0.85658,             0.84576,             0.91285,              0.5433,            0.031504,           0.0090451,          0.00057985,           0.0073023,           0.0073023,           0.0073023
                 111,            0.035998,            0.023571,           0.0015025,             0.86021,             0.88104,             0.92475,             0.56222,            0.029695,           0.0091258,           0.0003068,           0.0072775,           0.0072775,           0.0072775
                 112,             0.03578,            0.023186,           0.0012786,             0.84037,              0.8437,             0.89875,             0.55044,            0.030695,            0.009127,          0.00033318,           0.0072527,           0.0072527,           0.0072527
                 113,            0.035557,            0.022761,           0.0010689,             0.87785,               0.849,             0.91209,             0.56868,            0.030275,            0.008829,          0.00034158,            0.007228,            0.007228,            0.007228
                 114,            0.035316,            0.022958,           0.0012926,             0.85968,             0.86749,             0.91978,             0.56419,            0.029771,           0.0087979,          0.00044021,           0.0072033,           0.0072033,           0.0072033
                 115,            0.035153,            0.022683,           0.0015376,              0.8533,             0.85363,             0.90563,             0.54008,             0.03151,           0.0090499,          0.00032115,           0.0071785,           0.0071785,           0.0071785
                 116,            0.035632,             0.02259,           0.0013273,              0.8746,             0.84721,             0.92717,             0.56425,            0.030068,           0.0090995,          0.00035324,           0.0071538,           0.0071538,           0.0071538
                 117,            0.035294,            0.022649,           0.0013068,             0.83467,             0.88578,             0.92145,             0.54527,            0.030785,           0.0089718,          0.00040597,            0.007129,            0.007129,            0.007129
                 118,            0.035461,            0.023017,            0.001096,             0.86502,             0.89442,             0.93339,             0.57785,            0.029764,           0.0086321,          0.00029296,           0.0071042,           0.0071042,           0.0071042
                 119,            0.035534,            0.022898,           0.0012741,             0.88416,             0.89966,             0.93886,             0.58765,             0.02842,            0.008585,          0.00034194,           0.0070795,           0.0070795,           0.0070795
                 120,            0.035217,            0.022548,            0.001282,             0.84647,             0.87924,              0.9174,             0.55708,            0.030123,           0.0089673,          0.00031609,           0.0070547,           0.0070547,           0.0070547
                 121,            0.035052,            0.023169,            0.001417,             0.86428,             0.88463,              0.9332,             0.60004,            0.028721,           0.0086274,          0.00033768,             0.00703,             0.00703,             0.00703
                 122,            0.034913,            0.022525,           0.0013847,             0.85603,             0.87784,             0.91576,             0.56708,            0.029932,           0.0090381,          0.00032355,           0.0070053,           0.0070053,           0.0070053
                 123,            0.034986,            0.022466,           0.0013393,             0.88582,             0.88991,             0.94306,             0.57989,            0.028814,           0.0085556,          0.00047078,           0.0069805,           0.0069805,           0.0069805
                 124,            0.034784,            0.022199,            0.001221,             0.88212,             0.86665,              0.9272,             0.56405,            0.029389,           0.0087636,          0.00063365,           0.0069558,           0.0069558,           0.0069558
                 125,            0.034868,            0.022599,            0.001207,             0.84922,             0.88085,             0.91926,               0.553,            0.030536,           0.0090101,           0.0004122,            0.006931,            0.006931,            0.006931
                 126,            0.035109,            0.022918,           0.0011738,              0.8812,              0.8915,             0.93835,             0.58779,            0.028658,           0.0086724,          0.00030295,           0.0069063,           0.0069063,           0.0069063
                 127,            0.034839,            0.022146,           0.0012181,             0.89382,             0.87242,             0.94062,             0.58773,            0.028516,           0.0085984,          0.00028164,           0.0068815,           0.0068815,           0.0068815
                 128,            0.034545,            0.022449,           0.0012721,             0.86212,              0.9001,             0.93452,             0.58551,            0.029281,           0.0086376,          0.00035897,           0.0068568,           0.0068568,           0.0068568
                 129,            0.035174,            0.022657,           0.0012807,             0.85589,             0.88284,             0.92952,             0.57031,            0.029886,           0.0088875,          0.00031362,            0.006832,            0.006832,            0.006832
                 130,            0.034504,            0.022688,            0.001272,             0.87913,             0.90676,             0.94802,              0.5951,            0.028687,           0.0086331,          0.00031573,           0.0068073,           0.0068073,           0.0068073
                 131,             0.03437,            0.022226,           0.0013643,             0.88484,             0.87647,             0.93685,             0.58875,            0.028736,            0.008684,           0.0003372,           0.0067825,           0.0067825,           0.0067825
                 132,            0.034493,            0.022605,           0.0011343,             0.85876,             0.88811,              0.9242,             0.57431,            0.029362,           0.0088033,          0.00027705,           0.0067577,           0.0067577,           0.0067577
                 133,            0.034764,            0.022787,           0.0012498,             0.88563,             0.90904,              0.9536,             0.61053,            0.027864,           0.0083894,          0.00028616,            0.006733,            0.006733,            0.006733
                 134,            0.034729,            0.022805,           0.0012698,             0.84071,             0.86829,             0.90766,             0.56444,            0.030432,           0.0089992,          0.00028868,           0.0067082,           0.0067082,           0.0067082
                 135,            0.034813,            0.022785,           0.0010531,             0.87072,             0.88032,             0.92865,             0.58981,            0.028661,           0.0086916,          0.00023097,           0.0066835,           0.0066835,           0.0066835
                 136,            0.034548,            0.022458,           0.0011108,             0.88553,             0.89873,             0.94814,             0.60349,            0.028187,           0.0083901,           0.0002381,           0.0066587,           0.0066587,           0.0066587
                 137,            0.034094,            0.021999,           0.0011443,              0.8934,             0.90351,             0.95232,             0.60422,            0.028287,           0.0084181,          0.00029546,            0.006634,            0.006634,            0.006634
                 138,            0.034502,            0.022487,           0.0011375,             0.86213,             0.87921,              0.9363,             0.58141,            0.029666,           0.0089249,          0.00030795,           0.0066092,           0.0066092,           0.0066092
                 139,            0.034846,            0.022258,           0.0012244,             0.84486,             0.91146,             0.93809,             0.59365,             0.02791,           0.0086359,          0.00034501,           0.0065845,           0.0065845,           0.0065845
                 140,            0.034255,            0.022275,           0.0012325,             0.89064,             0.89507,             0.95138,             0.62018,            0.026737,           0.0082637,          0.00034508,           0.0065598,           0.0065598,           0.0065598
                 141,            0.034282,            0.022818,           0.0012252,             0.87835,             0.87872,             0.94345,             0.58022,            0.029087,           0.0085208,          0.00027578,            0.006535,            0.006535,            0.006535
                 142,            0.034434,            0.022306,           0.0012318,             0.88975,             0.89039,             0.94217,             0.58609,             0.02932,           0.0087888,          0.00026155,           0.0065102,           0.0065102,           0.0065102
                 143,            0.034462,            0.022678,           0.0011011,             0.87179,             0.89379,             0.94076,             0.58938,            0.029035,           0.0086476,          0.00025822,           0.0064855,           0.0064855,           0.0064855
                 144,            0.033907,            0.021891,           0.0010813,             0.89273,             0.88626,             0.94632,             0.60931,            0.027325,           0.0082379,          0.00028206,           0.0064608,           0.0064608,           0.0064608
                 145,            0.033968,            0.022012,           0.0011698,             0.88309,             0.90671,              0.9494,             0.61311,            0.027338,           0.0083567,          0.00027745,            0.006436,            0.006436,            0.006436
                 146,            0.033806,            0.022076,           0.0013604,             0.90862,             0.90636,             0.95429,             0.61179,            0.027249,           0.0082026,          0.00027516,           0.0064112,           0.0064112,           0.0064112
                 147,              0.0341,            0.022245,           0.0012075,             0.89429,             0.89777,              0.9492,             0.60635,            0.027753,           0.0083407,          0.00032033,           0.0063865,           0.0063865,           0.0063865
                 148,            0.034169,            0.022772,           0.0013413,             0.90299,             0.89548,             0.94982,              0.6163,            0.027277,           0.0082485,          0.00025527,           0.0063618,           0.0063618,           0.0063618
                 149,            0.033755,            0.022098,           0.0011056,             0.90407,             0.91451,              0.9586,             0.62001,            0.027239,           0.0081068,          0.00024887,            0.006337,            0.006337,            0.006337
                 150,            0.033525,            0.021745,           0.0010544,              0.9265,             0.88265,             0.95483,             0.62272,            0.026978,           0.0081509,          0.00026452,           0.0063122,           0.0063122,           0.0063122
                 151,            0.033681,            0.021904,            0.001127,             0.91064,              0.9156,             0.95667,             0.62429,            0.026991,           0.0082732,          0.00026539,           0.0062875,           0.0062875,           0.0062875
                 152,            0.033882,            0.022409,           0.0014313,             0.89384,             0.88432,             0.94598,              0.6005,            0.027754,           0.0084421,          0.00034462,           0.0062628,           0.0062628,           0.0062628
                 153,            0.034266,             0.02256,           0.0012113,              0.9039,             0.90061,              0.9546,             0.62262,            0.027092,           0.0083134,          0.00027369,            0.006238,            0.006238,            0.006238
                 154,            0.033631,            0.021935,           0.0012949,             0.91731,              0.8932,             0.95373,             0.62705,            0.026567,           0.0081865,          0.00035199,           0.0062132,           0.0062132,           0.0062132
                 155,             0.03402,            0.022179,           0.0011949,             0.88778,             0.90232,             0.95636,             0.62512,            0.026813,           0.0082781,          0.00024568,           0.0061885,           0.0061885,           0.0061885
                 156,            0.033367,            0.022141,           0.0010938,             0.90001,             0.92428,              0.9636,             0.63918,            0.026112,           0.0081081,          0.00023342,           0.0061637,           0.0061637,           0.0061637
                 157,            0.033051,            0.021582,           0.0011052,             0.89468,             0.90494,             0.95138,             0.62147,            0.027389,           0.0082258,          0.00022018,            0.006139,            0.006139,            0.006139
                 158,            0.033489,            0.022035,           0.0010925,             0.92087,             0.90514,             0.96057,             0.63667,            0.026253,           0.0080305,          0.00020977,           0.0061142,           0.0061142,           0.0061142
